Group.1	P32DA1	P32DA2	P32DA3	P32DB1	P32DB2	P32DB3	P32HA1	P32HA2	P32HA3	P32HB1	P32HB2	P32HB3	P60DA1	P60DA2	P60DA3	P60DB1	P60DB2	P60DB3	P60HA1	P60HA2	P60HA3	P60HB1	P60HB2	P60HB3
Rhot2	3308.754	4936.327	3929.861	3474.217	3544.605	3751.627	3161.567	4341.779	5960.133	2905.002	3820.344	5311.457	2577.688	6909.236	4109.219	2638.944	3346.018	5935.403	3865.464	3026.716	5276.163	3118.722	2103.182	5072.17
Rhpn1	5282.128	18101.656	5200.882	6003.221	8291.325	6308.554	6941.096	8925.13	6729.25	4138.252	8563.249	7135.94	4283.02	14379.302	9691.261	5211.46	7630.737	11760.775	5352.425	4130.578	5243.813	4596.74	4433.229	7248.982
Ribc1	5306.794	3831.164	4372.169	5758.036	3972.861	4648.068	6398.245	3431.899	3036.627	7400.802	4556.82	3568.038	6453.333	1860.365	5016.166	7006.786	4177.754	4319.213	5121.009	3535.738	2718.382	5301.416	4455.382	3964.473
Ric8a	1613.061	5821.261	3348.528	1572.15	4812.219	3407.236	1754.136	4564.401	3071.186	1688.463	4374.179	3180.138	1324.637	4016.182	2807.903	1454.881	3097.312	3556.728	1604.495	3234.214	3077.605	1251.47	2516.921	3184.392
Ric8b	1702.304	250.394	631.601	1264.392	81.828	491.14	727.459	408.732	1503.56	564.33	259.595	846.463	1151.793	1282.823	409.234	949.36	467.931	1191.834	1747.479	604.529	2213.948	1179.989	461.254	1253.686
RICS	584.635	915.633	257.291	548.774	488.888	185.344	804.57	894.888	311.102	454.703	761.868	317.38	630.262	1332.634	276.582	522.911	412.309	440.331	673.538	457.16	327.798	511.134	378.295	350.415
Ril	800.47	3362.199	1706.806	1012.87	3270.157	1826.67	2221.471	1081.897	638.927	1008.351	1452.511	1158.165	895.701	1993.826	2432.98	1368.8	2107.102	2355.961	578.801	822.977	591.676	529.522	1038.541	977.22
Rilp	310.337	333.348	566.123	464.956	670.401	751.245	677.109	353.736	456.697	845.138	413.933	675.136	427.971	373.176	787.721	429.678	375.425	648.887	394.744	406.554	400.368	521.615	564.413	624.961
Rims3	627.241	2399.523	845.29	632.524	2143.029	844.462	503.655	2159.077	875.527	697.139	2148.154	622.065	617.092	1312.894	1460.802	455.653	978.183	565.931	904.227	1656.779	1210.229	499.62	1401.605	887.982
Rin2	2322.734	1450.335	1308.138	2553.002	1605.676	1301.727	1862.751	1104.163	2042.985	931.522	1339.68	2431.938	1994.195	2185.304	740.291	2530.729	2383.323	3177.724	1759.26	1110.579	1826.415	2107.109	1130.811	2034.937
Rin3	195.156	813.404	249.036	220.152	772.654	182.043	458.412	572.145	159.768	303.385	692.978	165.097	183.81	602.43	288.649	238.656	600.926	339.362	175.961	302.722	156.265	198.442	269.873	283.303
